States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,District
assam,2018,3,TOTAL,90928,155121755.76365337,tinsukia district
assam,2018,3,TOTAL,51496,62695597.63194518,lakhimpur district
assam,2018,3,TOTAL,112726,148929589.80060056,kamrup district
assam,2018,3,TOTAL,40412,73077064.97429448,kokrajhar district
assam,2018,3,TOTAL,34200,57257408.755169146,karbi anglong district
assam,2018,3,TOTAL,42699,59919419.351953864,sivasagar district
assam,2018,3,TOTAL,98822,173048841.5837646,dibrugarh district
assam,2018,3,TOTAL,19386,26159422.01650779,south salmara mancachar district
assam,2018,3,TOTAL,142195,208584967.9650631,nagaon district
assam,2018,3,TOTAL,67607,103548615.7832775,dhubri district
assam,2018,3,TOTAL,54792,72105527.30150673,golaghat district
assam,2018,3,TOTAL,37084,49951166.54462874,udalguri district
assam,2018,3,TOTAL,10921,8055597.913024999,majuli district
assam,2018,3,TOTAL,116196,252135800.71617544,sonitpur district
assam,2018,3,TOTAL,38583,61817228.94964518,hojai district
assam,2018,3,TOTAL,102867,189132040.91743046,marigaon district
assam,2018,3,TOTAL,18743,33723485.937145546,chirang district
assam,2018,3,TOTAL,123735,189612378.33199263,cachar district
assam,2018,3,TOTAL,41038,53972192.02012733,nalbari district
assam,2018,3,TOTAL,4995,4925639.964915074,west karbi anglong district
assam,2018,3,TOTAL,40083,66647316.37566679,dhemaji district
assam,2018,3,TOTAL,44660,61562538.83501206,karimganj district
assam,2018,3,TOTAL,50508,82437701.24197799,bongaigaon district
assam,2018,3,TOTAL,12952,21820660.620861933,dima hasao district
assam,2018,3,TOTAL,50043,78080860.90020068,baksa district
assam,2018,3,TOTAL,28439,37987634.601765156,charaideo district
assam,2018,3,TOTAL,51560,66050473.03652644,darrang district
assam,2018,3,TOTAL,476050,884121118.8280818,kamrup metropolitan district
assam,2018,3,TOTAL,29372,41835687.849734716,hailakandi district
assam,2018,3,TOTAL,145945,230125281.84070832,barpeta district
assam,2018,3,TOTAL,57019,88773137.69565679,goalpara district
assam,2018,3,TOTAL,36071,49910423.578981526,biswanath district
assam,2018,3,TOTAL,79724,118008412.28630178,jorhat district
assam,2018,4,TOTAL,127171,253718923.0695014,tinsukia district
assam,2018,4,TOTAL,76772,104689433.9410339,lakhimpur district
assam,2018,4,TOTAL,162592,236088241.49952984,kamrup district
assam,2018,4,TOTAL,54606,123041318.32460138,kokrajhar district
assam,2018,4,TOTAL,53526,99019113.05197324,karbi anglong district
assam,2018,4,TOTAL,64113,99142069.27717136,sivasagar district
assam,2018,4,TOTAL,144931,264346941.4922037,dibrugarh district
assam,2018,4,TOTAL,26334,41170236.09800846,south salmara mancachar district
assam,2018,4,TOTAL,435103,317973029.4737475,nagaon district
assam,2018,4,TOTAL,120810,181651044.89215764,dhubri district
assam,2018,4,TOTAL,79500,126712548.58575013,golaghat district
assam,2018,4,TOTAL,51801,90836151.48172343,udalguri district
assam,2018,4,TOTAL,16498,13348264.371029017,majuli district
assam,2018,4,TOTAL,165399,358549931.5785284,sonitpur district
assam,2018,4,TOTAL,53523,85392301.38430479,hojai district
assam,2018,4,TOTAL,193075,207853575.09985885,marigaon district
assam,2018,4,TOTAL,26846,51647368.60810732,chirang district
assam,2018,4,TOTAL,187360,272342253.1327299,cachar district
assam,2018,4,TOTAL,61931,83491586.46719557,nalbari district
assam,2018,4,TOTAL,8729,9985888.620912362,west karbi anglong district
assam,2018,4,TOTAL,62268,109905674.61382627,dhemaji district
assam,2018,4,TOTAL,62738,106200165.50793815,karimganj district
assam,2018,4,TOTAL,84239,130369027.68827806,bongaigaon district
assam,2018,4,TOTAL,19051,41435937.87571849,dima hasao district
assam,2018,4,TOTAL,66602,114583565.16335085,baksa district
assam,2018,4,TOTAL,41777,63979700.09467216,charaideo district
assam,2018,4,TOTAL,67909,109435369.93100193,darrang district
assam,2018,4,TOTAL,686010,1345451492.4344451,kamrup metropolitan district
assam,2018,4,TOTAL,43026,66947503.90498407,hailakandi district
assam,2018,4,TOTAL,225449,354675455.9326413,barpeta district
assam,2018,4,TOTAL,101776,171764620.40410748,goalpara district
assam,2018,4,TOTAL,52514,77750045.91803803,biswanath district
assam,2018,4,TOTAL,110193,174524079.09399235,jorhat district
assam,2018,2,TOTAL,66715,102921465.63822293,tinsukia district
assam,2018,2,TOTAL,39374,43214923.214693636,lakhimpur district
assam,2018,2,TOTAL,74537,83338163.66068907,kamrup district
assam,2018,2,TOTAL,25926,39803961.022866696,kokrajhar district
assam,2018,2,TOTAL,21038,32715713.62045552,karbi anglong district
assam,2018,2,TOTAL,32513,38045383.75274092,sivasagar district
assam,2018,2,TOTAL,70642,110954951.68517756,dibrugarh district
assam,2018,2,TOTAL,11905,17203000.741125718,south salmara mancachar district
assam,2018,2,TOTAL,105834,129818644.91478491,nagaon district
assam,2018,2,TOTAL,45661,47762317.267708406,dhubri district
assam,2018,2,TOTAL,36437,43250232.58380605,golaghat district
assam,2018,2,TOTAL,27215,30375056.040722743,udalguri district
assam,2018,2,TOTAL,5058,3699473.567640461,majuli district
assam,2018,2,TOTAL,82799,151230715.30607644,sonitpur district
assam,2018,2,TOTAL,27627,37555286.20435598,hojai district
assam,2018,2,TOTAL,109223,204057284.2187584,marigaon district
assam,2018,2,TOTAL,11893,20005276.774361502,chirang district
assam,2018,2,TOTAL,83921,105147622.61224496,cachar district
assam,2018,2,TOTAL,28274,31476842.338154256,nalbari district
assam,2018,2,TOTAL,3059,2307157.4720137673,west karbi anglong district
assam,2018,2,TOTAL,28048,40136198.64929268,dhemaji district
assam,2018,2,TOTAL,29742,31418376.057903484,karimganj district
