States,Transaction_Year,Quarters,RegisteredUsers,AppOpens,District
assam,2018,3,32870,0,tinsukia district
assam,2018,3,18337,0,lakhimpur district
assam,2018,3,33197,0,kamrup district
assam,2018,3,13164,0,kokrajhar district
assam,2018,3,12282,0,karbi anglong district
assam,2018,3,17447,0,sivasagar district
assam,2018,3,40711,0,dibrugarh district
assam,2018,3,4903,0,south salmara mancachar district
assam,2018,3,40687,0,nagaon district
assam,2018,3,22705,0,dhubri district
assam,2018,3,21729,0,golaghat district
assam,2018,3,11213,0,udalguri district
assam,2018,3,2739,0,majuli district
assam,2018,3,38797,0,sonitpur district
assam,2018,3,14769,0,hojai district
assam,2018,3,15934,0,marigaon district
assam,2018,3,7234,0,chirang district
assam,2018,3,40888,0,cachar district
assam,2018,3,15082,0,nalbari district
assam,2018,3,2051,0,west karbi anglong district
assam,2018,3,14771,0,dhemaji district
assam,2018,3,17088,0,karimganj district
assam,2018,3,18869,0,bongaigaon district
assam,2018,3,4860,0,dima hasao district
assam,2018,3,14459,0,baksa district
assam,2018,3,9516,0,charaideo district
assam,2018,3,16774,0,darrang district
assam,2018,3,164101,0,kamrup metropolitan district
assam,2018,3,12471,0,hailakandi district
assam,2018,3,41158,0,barpeta district
assam,2018,3,20290,0,goalpara district
assam,2018,3,11572,0,biswanath district
assam,2018,3,32134,0,jorhat district
assam,2018,4,42624,0,tinsukia district
assam,2018,4,25253,0,lakhimpur district
assam,2018,4,44868,0,kamrup district
assam,2018,4,17317,0,kokrajhar district
assam,2018,4,16359,0,karbi anglong district
assam,2018,4,23195,0,sivasagar district
assam,2018,4,52539,0,dibrugarh district
assam,2018,4,6809,0,south salmara mancachar district
assam,2018,4,54395,0,nagaon district
assam,2018,4,30132,0,dhubri district
assam,2018,4,28795,0,golaghat district
assam,2018,4,15637,0,udalguri district
assam,2018,4,3882,0,majuli district
assam,2018,4,51420,0,sonitpur district
assam,2018,4,19400,0,hojai district
assam,2018,4,21518,0,marigaon district
assam,2018,4,9567,0,chirang district
assam,2018,4,53209,0,cachar district
assam,2018,4,20512,0,nalbari district
assam,2018,4,2925,0,west karbi anglong district
assam,2018,4,19530,0,dhemaji district
assam,2018,4,23348,0,karimganj district
assam,2018,4,24766,0,bongaigaon district
assam,2018,4,6483,0,dima hasao district
assam,2018,4,20047,0,baksa district
assam,2018,4,12563,0,charaideo district
assam,2018,4,22235,0,darrang district
assam,2018,4,214212,0,kamrup metropolitan district
assam,2018,4,16753,0,hailakandi district
assam,2018,4,55068,0,barpeta district
assam,2018,4,27280,0,goalpara district
assam,2018,4,15480,0,biswanath district
assam,2018,4,41100,0,jorhat district
assam,2018,2,23900,0,tinsukia district
assam,2018,2,12719,0,lakhimpur district
assam,2018,2,23595,0,kamrup district
assam,2018,2,9480,0,kokrajhar district
assam,2018,2,8725,0,karbi anglong district
assam,2018,2,12596,0,sivasagar district
assam,2018,2,30527,0,dibrugarh district
assam,2018,2,3557,0,south salmara mancachar district
assam,2018,2,29412,0,nagaon district
assam,2018,2,16701,0,dhubri district
assam,2018,2,15237,0,golaghat district
